Name,Origin_Season,Origin_League,Origin_Team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Debut_Season,PL_Team,PL_Performance,Season_Control
Henri Saivet,1617,FRA-Ligue 1,Saint-Etienne,0.15202702702702703,0.1480088059356235,0.12011423900509505,1718.0,Newcastle United,1.0465116279069766,2016
Henrikh Mkhitaryan,1516,GER-Bundesliga,Borussia Dortmund,0.9076803723816912,0.4012981638647587,0.5544509180395917,1617.0,Manchester United,0.33407572383073497,2015
Håvard Nordtveit,1516,GER-Bundesliga,Borussia M.Gladbach,0.1837484687627603,0.03665643373390955,0.04020326053240728,1617.0,West Ham,0.09424083769633508,2015
Håvard Nordtveit,1718,GER-Bundesliga,Hoffenheim,0.0,0.04007329845447132,0.005691776670406654,1819.0,Fulham,0.24930747922437674,2017
Hélder Costa,1516,FRA-Ligue 1,Monaco,0.3472222222222222,0.211715322220698,0.1753369850727419,1819.0,Wolverhampton Wanderers,0.20074349442379183,2015
Ibrahim Amadou,1819,ESP-La Liga,Sevilla,0.0,0.04121134368898837,0.007715344674100998,1920.0,Norwich,0.0,2018
Ibrahim Sangare,1920,FRA-Ligue 1,Toulouse,0.04134129536058796,0.06869592062177518,0.049555306200949376,2324.0,Nottingham Forest,0.0,2019
Ibrahima Diallo,1920,FRA-Ligue 1,Brest,0.05758157389635316,0.004500593085578441,0.03944215159183958,2021.0,Southampton,0.0,2019
Ibrahima Konaté,2021,GER-Bundesliga,RasenBallsport Leipzig,0.12949640287769784,0.10319335297714892,0.0,2223.0,Liverpool,0.0,2020
Idrissa Gueye,1415,FRA-Ligue 1,Lille,0.19751280175566935,0.06522549653184637,0.04372909112922689,1516.0,Aston Villa,0.029173419773095625,2014
Idrissa Gueye,2021,FRA-Ligue 1,Paris Saint Germain,0.17088607594936708,0.05068858670471589,0.046507049375508404,2223.0,Everton,0.03411675511751327,2020
Ignacio Pussetto,1819,ITA-Serie A,Udinese,0.33012379642365886,0.2722364714166772,0.08974445367582973,1920.0,Watford,0.0,2018
Igor Julio,2223,ITA-Serie A,Fiorentina,0.0,0.016277797153798144,0.016548116714081487,2324.0,Brighton,0.0,2022
Ilkay Gündogan,1516,GER-Bundesliga,Borussia Dortmund,0.1801801801801802,0.17038943774595455,0.18455623216960612,1617.0,Manchester City,0.502092050209205,2015
Ionut Radu,2223,ITA-Serie A,Cremonese,0.0,0.0,0.02172995648450321,2324.0,Bournemouth,0.0,2022
Isaac Mbenza,1718,FRA-Ligue 1,Montpellier,0.3444976076555024,0.32500184389749215,0.05141808938805424,1819.0,Huddersfield,0.1882845188284519,2017
Isaac Success,1516,ESP-La Liga,Granada,0.29496108152396555,0.2623458680136313,0.12545981503556078,1617.0,Watford,0.3887688984881209,2015
Isaac Success,1718,ESP-La Liga,Malaga,0.18072289156626506,0.07471500065581627,0.29598086533776247,1819.0,Watford,0.1773399014778325,2017
Islam Slimani,1920,FRA-Ligue 1,Monaco,1.1206225680933852,0.6298609180122265,0.2935112629535133,2021.0,Leicester,0.0,2019
Ismaila Sarr,1819,FRA-Ligue 1,Rennes,0.4485582057671769,0.16623504187324242,0.233966057159301,1920.0,Watford,0.3974484789008832,2018
Issa Diop,1718,FRA-Ligue 1,Toulouse,0.08823529411764706,0.05570059935288394,0.01379894947304445,1819.0,West Ham,0.030303030303030304,2017
Issa Kabore,2223,FRA-Ligue 1,Marseille,0.08991008991008992,0.11145930488842291,0.08756363699277799,2324.0,Luton,0.10297482837528604,2022
Ivan Perisic,2021,ITA-Serie A,Inter,0.4002223457476376,0.2475235947180517,0.21072760425723383,2223.0,Tottenham,0.3844328429046037,2020
Ivo Grbic,2223,ESP-La Liga,Atletico Madrid,0.0,0.0,0.0,2324.0,Sheffield United,0.0,2022
Iyenoma Destiny Udogie,2223,ITA-Serie A,Udinese,0.23110785033015407,0.115727188205039,0.10635792611198266,2324.0,Tottenham,0.1846532622076323,2022
Jadon Sancho,2021,GER-Bundesliga,Borussia Dortmund,0.8209313490158425,0.25909913718106653,0.35618280477739556,2223.0,Manchester United,0.47368421052631576,2020
Jakub Kiwior,2223,ITA-Serie A,Spezia,0.0,0.040154696542246286,0.03737752056442017,2324.0,Arsenal,0.3777544596012592,2022
Jan Kirchhoff,1415,GER-Bundesliga,Schalke 04,0.0,0.09625907924215672,0.05440202102822772,1516.0,Sunderland,0.0,2014
Jannik Vestergaard,1718,GER-Bundesliga,Borussia M.Gladbach,0.09375,0.061363969260128215,0.021566380746662617,1819.0,Southampton,0.0,2017
Javier Manquillo,1516,FRA-Ligue 1,Marseille,0.03364485981308411,0.007969878547798804,0.05268214089082223,1617.0,Sunderland,0.06324666198172874,2015
Jean Michael Seri,1718,FRA-Ligue 1,Nice,0.2735562310030395,0.06375848225425465,0.14915050873263969,1819.0,Fulham,0.1187335092348285,2017
Jean-Philippe Gbamin,1819,GER-Bundesliga,Mainz 05,0.10093457943925234,0.04370301994277495,0.06545168529395189,1920.0,Everton,0.0,2018
Jean-Philippe Mateta,1920,GER-Bundesliga,Mainz 05,0.3389830508474576,0.4075478825528743,0.10869957632937673,2021.0,Crystal Palace,0.4225352112676056,2019
Jean-Philippe Mateta,2021,GER-Bundesliga,Mainz 05,0.7142857142857143,0.683605708680781,0.12019475930303868,2223.0,Crystal Palace,0.2510460251046025,2020
Jean-Ricner Bellegarde,2223,FRA-Ligue 1,Strasbourg,0.2947196070405239,0.08802567492382135,0.19690290064449148,2324.0,Wolverhampton Wanderers,0.2878464818763326,2022
Jefferson Lerma,1718,ESP-La Liga,Levante,0.04201680672268907,0.04274614307904193,0.0650014791308957,1819.0,Bournemouth,0.07123070834982193,2017
Jeremie Boga,1617,ESP-La Liga,Granada,0.18646408839779005,0.134406111091221,0.056059017368381356,1718.0,Chelsea,0.0,2016
Jesús Gámez,1516,ESP-La Liga,Atletico Madrid,0.0,0.009252797770945969,0.02038260654822363,1718.0,Newcastle United,0.0,2015
Jetro Willems,1819,GER-Bundesliga,Eintracht Frankfurt,0.1274787535410765,0.025061251867362015,0.27603724013707964,1920.0,Newcastle United,0.23984010659560295,2018
Joachim Andersen,1920,FRA-Ligue 1,Lyon,0.058785107772697576,0.06031730735417793,0.006846807371511091,2021.0,Fulham,0.06588579795021962,2019
Joe Hart,1617,ITA-Serie A,Torino,0.0,0.0,0.0004996749986377028,1718.0,West Ham,0.05263157894736842,2016
Joel Campbell,1415,ESP-La Liga,Villarreal,0.0741962077493817,0.1425813897670249,0.19361939755716012,1516.0,Arsenal,0.5050505050505051,2014
Joel Matip,1516,GER-Bundesliga,Schalke 04,0.17647058823529413,0.09262052438605357,0.049392620649407894,1617.0,Liverpool,0.036689767631471665,2015
Joel Robles,2021,ESP-La Liga,Real Betis,0.0,0.0,0.0012100833571619444,2223.0,Leeds,0.0,2020
Joelinton,1819,GER-Bundesliga,Hoffenheim,0.5025593299208935,0.37405019420601704,0.21552621280768408,1920.0,Newcastle United,0.1322556943423953,2018
Jonas Lössl,1617,GER-Bundesliga,Mainz 05,0.0,0.0010133592618836297,0.003716162923309537,1718.0,Huddersfield,0.02631578947368421,2016
Jonjoe Kenny,1920,GER-Bundesliga,Schalke 04,0.16471449487554907,0.03838083905878301,0.03803134459175857,2021.0,Everton,0.0,2019
Jonny,1718,ESP-La Liga,Celta Vigo,0.08416458852867831,0.052895987243217375,0.0504032719213785,1819.0,Wolverhampton Wanderers,0.06446991404011461,2017
Jordan Amavi,1415,FRA-Ligue 1,Nice,0.11128284389489954,0.038127795316658955,0.09362409402899893,1516.0,Aston Villa,0.21556886227544908,2014
Jordan Ayew,1415,FRA-Ligue 1,Lorient,0.5848623853211009,0.3299725699716956,0.11201678576597243,1516.0,Aston Villa,0.267402376910017,2014
Jordan Veretout,1415,FRA-Ligue 1,Nantes,0.3635798632691113,0.056031329234317646,0.2003241518704537,1516.0,Aston Villa,0.24576734025122882,2014
Jorginho,1718,ITA-Serie A,Napoli,0.20171834142697048,0.041528810034820875,0.1286816261959223,1819.0,Chelsea,0.056621579112928595,2017
Joselu,1415,GER-Bundesliga,Hannover 96,0.3996770286637061,0.31194984948967175,0.13109849501953139,1516.0,Stoke,0.41977611940298504,2014
Joselu,1617,ESP-La Liga,Deportivo La Coruna,0.6108597285067873,0.2700534657094779,0.021555458208149914,1718.0,Newcastle United,0.2601156069364162,2016
