Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control,Pre_PL_Expected_GA,Finishing_Overperf,League_Quality_Score
Andriy Yarmolenko,1718,GER-Bundesliga,Borussia Dortmund,0.4314477468839885,0.4351871548183012,0.2758665919689638,West Ham,0.3964757709251101,0.2535646796083147,0.1429110913167954,2017,0.7110537467872651,-0.27960599990327656,1.0
André Ayew,1415,FRA-Ligue 1,Marseille,0.4511278195488721,0.3606001557992365,0.1201229461965928,Swansea,0.4246713852376137,0.1906419033929719,0.2340294818446417,2014,0.4807231019958293,-0.029595282446957194,0.8
André Gomes,1718,ESP-La Liga,Barcelona,0.0,0.107295916548797,0.0232983151716845,Everton,0.0899550224887556,0.2525341096418926,-0.162579087153137,2017,0.1305942317204815,-0.1305942317204815,1.0
André Gomes,2223,FRA-Ligue 1,Lille,0.2765826674861708,0.0576204913837197,0.0553770771120762,Everton,0.1890756302521008,0.1879189713908934,0.0011566588612073,2022,0.1129975684957959,0.16358509899037488,0.8
André Onana,2223,ITA-Serie A,Inter,0.0,0.0,0.0040817488916218,Manchester United,0.0,0.2547634991173069,-0.2547634991173069,2022,0.0040817488916218,-0.0040817488916218,0.9
André Schürrle,1718,GER-Bundesliga,Borussia Dortmund,0.3643724696356275,0.2077613288031416,0.2545364505426604,Fulham,0.3233532934131736,0.1501273009276872,0.1732259924854864,2017,0.46229777934580196,-0.09792530971017444,1.0
Angelo Ogbonna,1415,ITA-Serie A,Juventus,0.0,0.0478525726269564,0.0060655109081374,West Ham,0.0,0.2815491459675905,-0.2815491459675905,2014,0.0539180835350938,-0.0539180835350938,0.9
Anssumane Fati,2223,ESP-La Liga,Barcelona,0.6706408345752608,0.7058608803020904,0.1136682564378806,Brighton,0.3947368421052631,0.2358128834355828,0.1589239586696803,2022,0.819529136739971,-0.14888830216471016,1.0
Anthony Martial,1415,FRA-Ligue 1,Monaco,0.593732820230896,0.461355177055862,0.1185237463520672,Manchester United,0.5129179331306991,0.2396061269146608,0.2733118062160383,2014,0.5798789234079291,0.013853896822966894,0.8
Antonio Barragán,1516,ESP-La Liga,Valencia,0.0,0.0,0.0185616571559053,Middlesbrough,0.0,0.1446080263059562,-0.1446080263059562,2015,0.0185616571559053,-0.0185616571559053,1.0
Antonio Barreca,1718,ITA-Serie A,Torino,0.0,0.0035895460069699,0.0111327841308569,Newcastle United,0.0,0.2164958645006096,-0.2164958645006096,2017,0.014722330137826799,-0.014722330137826799,0.9
Antonio Rüdiger,1617,ITA-Serie A,Roma,0.0815586769370185,0.0295524977275862,0.0376924524977499,Chelsea,0.1155327342747111,0.2718401486988848,-0.1563074144241736,2016,0.0672449502253361,0.014313726711682406,0.9
Anwar El Ghazi,1718,FRA-Ligue 1,Lille,0.4390243902439024,0.2349208873730698,0.1689453250331032,Aston Villa,0.345821325648415,0.1920361479807963,0.1537851776676186,2017,0.403866212406173,0.0351581778377294,0.8
Arnaut Danjuma Groeneveld,2223,ESP-La Liga,Villarreal,0.3781512605042016,0.4271248957345716,0.066040903095062,Everton,0.1573426573426573,0.1879189713908934,-0.0305763140482361,2022,0.4931657988296336,-0.11501453832543196,1.0
Ashley Young,2021,ITA-Serie A,Inter,0.313588850174216,0.0956770695343561,0.1340827959547474,Aston Villa,0.0440313111545988,0.2252782849402202,-0.1812469737856214,2020,0.2297598654891035,0.08382898468511252,0.9
Axel Disasi,2223,FRA-Ligue 1,Monaco,0.1622108741363773,0.0715749435765754,0.0295498690207858,Chelsea,0.0696055684454756,0.318399159779995,-0.2487935913345193,2022,0.1011248125973612,0.06108606153901611,0.8
Aymeric Laporte,1617,ESP-La Liga,Athletic Club,0.06282722513089,0.0692703388338781,0.0191882150784056,Manchester City,0.0,0.5279591257451036,-0.5279591257451036,2016,0.0884585539122837,-0.02563132878139371,1.0
Aymeric Laporte,1718,ESP-La Liga,Athletic Club,0.0526315789473684,0.0319142367102597,0.0546174261130784,Manchester City,0.176528277214776,0.426128890837352,-0.2496006136225759,2017,0.0865316628233381,-0.033900083875969704,1.0
Bastian Schweinsteiger,1415,GER-Bundesliga,Bayern Munich,0.5951506245407788,0.1437958738712551,0.1467432088268583,Manchester United,0.0750625521267723,0.2396061269146608,-0.1645435747878885,2014,0.29053908269811335,0.3046115418426655,1.0
Benjamin Mendy,1617,FRA-Ligue 1,Monaco,0.2185526954832443,0.0239707630276028,0.1686077550209194,Manchester City,0.2521008403361344,0.5279591257451036,-0.2758582854089692,2016,0.19257851804852222,0.02597417743472208,0.8
Benoit Badiashile Mukinayi,2021,FRA-Ligue 1,Monaco,0.0939457202505219,0.087677019897125,0.0236876398356075,Chelsea,0.099889012208657,0.1648108219865906,-0.0649218097779336,2020,0.11136465973273249,-0.017418939482210585,0.8
Benoit Badiashile Mukinayi,2223,FRA-Ligue 1,Monaco,0.2163461538461538,0.0603912130016117,0.0590086305657258,Chelsea,0.0672645739910313,0.318399159779995,-0.2511345857889636,2022,0.1193998435673375,0.0969463102788163,0.8
Bernardo,1516,ESP-La Liga,Sporting Gijon,0.0673652694610778,0.0651405994295181,0.0482424321824205,Middlesbrough,0.0,0.1446080263059562,-0.1446080263059562,2015,0.11338303161193859,-0.046017762150860786,1.0
Bernardo,1718,GER-Bundesliga,RasenBallsport Leipzig,0.1334321719792439,0.028463183778626,0.0437008171688193,Brighton,0.0517241379310344,0.1654225589857084,-0.1136984210546739,2017,0.0721640009474453,0.0612681710317986,1.0
Bernardo,1819,ESP-La Liga,Girona,0.0658857979502196,0.0523949434127151,0.0316798482717479,Brighton,0.0,0.1562555362647486,-0.1562555362647486,2018,0.084074791684463,-0.018188993734243403,1.0
Bernardo,1920,ESP-La Liga,Espanyol,0.1193633952254642,0.1020911693899084,0.0258661750753457,Brighton,0.0,0.1791076042175825,-0.1791076042175825,2019,0.1279573444652541,-0.008593949239789914,1.0
Bernardo Silva,1617,FRA-Ligue 1,Monaco,0.5408271474019088,0.1815796381184556,0.2356895120381866,Manchester City,0.6,0.5279591257451036,0.0720408742548963,2016,0.41726915015664223,0.12355799724526662,0.8
Bernd Leno,1718,GER-Bundesliga,Bayer Leverkusen,0.0,0.0,0.0048451968892054,Arsenal,0.0,0.3246975398874133,-0.3246975398874133,2017,0.0048451968892054,-0.0048451968892054,1.0
Bertrand Traoré,1920,FRA-Ligue 1,Lyon,0.2875399361022364,0.2646540024112493,0.2189494613944865,Aston Villa,0.4953429297205758,0.2969087280576711,0.1984342016629046,2019,0.4836034638057358,-0.19606352770349944,0.8
Beto,2223,ITA-Serie A,Udinese,0.4645706241201314,0.4263090306009305,0.1221780004115283,Everton,0.3006681514476614,0.1879189713908934,0.112749180056768,2022,0.5484870310124588,-0.08391640689232738,0.9
Björn Engels,1819,FRA-Ligue 1,Reims,0.0606060606060606,0.0339362280951304,0.0347997819383939,Aston Villa,0.0621976503109882,0.1920361479807963,-0.1298384976698081,2018,0.06873601003352431,-0.008129949427463708,0.8
Bojan,1617,GER-Bundesliga,Mainz 05,0.2852614896988906,0.1619781762739369,0.0534201063888764,Stoke,0.0,0.1754610246412477,-0.1754610246412477,2016,0.2153982826628133,0.06986320703607729,1.0
Borja Bastón,1516,ESP-La Liga,Eibar,0.7325581395348837,0.5690184138975171,0.0948905744264985,Swansea,0.1711026615969582,0.2450885041820657,-0.0739858425851075,2015,0.6639089883240156,0.06864915121086812,1.0
Borja Bastón,1819,ESP-La Liga,Alaves,0.3693570451436389,0.427038287119647,0.078659994965967,Aston Villa,0.0,0.1920361479807963,-0.1920361479807963,2018,0.505698282085614,-0.13634123694197509,1.0
Boubacar Kamara,2021,FRA-Ligue 1,Marseille,0.0617072334590332,0.0203002944466059,0.0544625112226882,Aston Villa,0.0502793296089385,0.2252782849402202,-0.1749989553312817,2020,0.07476280566929411,-0.013055572210260907,0.8
Boubakary Soumare,2021,FRA-Ligue 1,Lille,0.0470465237846314,0.0065034286299661,0.0292924690604116,Leicester,0.0,0.2462791163318427,-0.2462791163318427,2020,0.0357958976903777,0.011250626094253702,0.8
Bruno,1617,ESP-La Liga,Villarreal,0.2111260053619302,0.057468082444947,0.0487187819745161,Brighton,0.0,0.1961561323558549,-0.1961561323558549,2016,0.1061868644194631,0.10493914094246712,1.0
Bruno,1718,ESP-La Liga,Getafe,0.0,0.0129071955598192,0.0690576805936871,Brighton,0.0782608695652173,0.1654225589857084,-0.087161689420491,2017,0.0819648761535063,-0.0819648761535063,1.0
Bruno Fernandes,1617,ITA-Serie A,Sampdoria,0.3629032258064516,0.2986992830099443,0.2321333624851731,Manchester United,1.1147811725846408,0.3395856764503138,0.775195496134327,2016,0.5308326454951174,-0.16792941968866582,0.9
Bruno Guimarães,2021,FRA-Ligue 1,Lyon,0.2045454545454545,0.0910433798192322,0.1006955397950316,Newcastle United,0.2932657494569152,0.3000851305334847,-0.0068193810765694,2020,0.19173891961426381,0.012806534931190688,0.8
Bryan Gil Salvatierra,2021,ESP-La Liga,Eibar,0.2747492368076755,0.1419427912362241,0.1816577920783595,Tottenham,0.6081081081081081,0.2896913911398481,0.31841671696826,2020,0.32360058331458363,-0.048851346506908144,1.0
Bryan Gil Salvatierra,2223,ESP-La Liga,Sevilla,0.3896103896103896,0.3611947176977991,0.0796071045076498,Tottenham,0.0,0.375650705810627,-0.375650705810627,2022,0.4408018222054489,-0.051191432595059316,1.0
Cafú,1718,FRA-Ligue 1,Metz,0.0,0.0754935589376919,0.0207862467197332,Nottingham Forest,0.0,0.1575310916628282,-0.1575310916628282,2017,0.0962798056574251,-0.0962798056574251,0.8
Caglar Söyüncü,1718,GER-Bundesliga,Freiburg,0.0418215613382899,0.0378510854328155,0.0,Leicester,0.0,0.2264475444295815,-0.2264475444295815,2017,0.0378510854328155,0.003970475905474405,1.0
Callum Hudson-Odoi,2223,GER-Bundesliga,Bayer Leverkusen,0.1475409836065573,0.0239234606689605,0.0918104470264716,Nottingham Forest,0.4392624728850325,0.2865459838078777,0.1527164890771548,2022,0.1157339076954321,0.03180707591112519,1.0
Carlos Baleba,2223,FRA-Ligue 1,Lille,0.0,0.0780741077159409,0.010067810749878,Brighton,0.0,0.2358128834355828,-0.2358128834355828,2022,0.0881419184658189,-0.0881419184658189,0.8
Carlos Vinicius,1819,FRA-Ligue 1,Monaco,0.5476673427991886,0.5054955151967296,0.0862511618036406,Tottenham,0.3,0.3576364892881825,-0.0576364892881824,2018,0.5917466770003702,-0.0440793342011816,0.8
Casemiro,2021,ESP-La Liga,Real Madrid,0.31013094417643,0.207480535737215,0.0901175419165195,Manchester United,0.2961918194640338,0.2583177132146204,0.0378741062494134,2020,0.29759807765373447,0.01253286652269553,1.0
Cengiz Ünder,1920,ITA-Serie A,Roma,0.3103448275862069,0.2651744350020228,0.2927291289228818,Leicester,0.694980694980695,0.3095599393019727,0.3854207556787223,2019,0.5579035639249046,-0.24755873633869768,0.9
Cheick Oumar Doucoure,2021,FRA-Ligue 1,Lens,0.1021566401816118,0.0373537691307933,0.0389416579254369,Crystal Palace,0.095575221238938,0.2131380478740846,-0.1175628266351465,2020,0.0762954270562302,0.025861213125381602,0.8
Chicharito,1415,ESP-La Liga,Real Madrid,1.1660777385159011,0.4929831042859453,0.4209644300040424,Manchester United,0.0,0.2396061269146608,-0.2396061269146608,2014,0.9139475342899877,0.2521302042259135,1.0
Chicharito,1617,GER-Bundesliga,Bayer Leverkusen,0.695364238410596,0.5094624242887197,0.1317383344932798,West Ham,0.4724409448818897,0.2332516774949409,0.2391892673869488,2016,0.6412007587819994,0.05416347962859658,1.0
Chimuanya Ugochukwu,2223,FRA-Ligue 1,Rennes,0.0676691729323308,0.0783718734615503,0.0573194898048737,Chelsea,0.0,0.318399159779995,-0.318399159779995,2022,0.135691363266424,-0.06802219033409321,0.8
Chris Richards,2021,GER-Bundesliga,Bayern Munich,0.1737451737451737,0.0189323166680151,0.072494685464686,Crystal Palace,0.0,0.2131380478740846,-0.2131380478740846,2020,0.09142700213270111,0.0823181716124726,1.0
Christian Eriksen,2021,ITA-Serie A,Inter,0.1927194860813704,0.0758693515815686,0.1534401918751461,Manchester United,0.3868194842406877,0.2583177132146204,0.1285017710260672,2020,0.2293095434567147,-0.03659005737534429,0.9
Christian Fuchs,1415,GER-Bundesliga,Schalke 04,0.3152364273204903,0.041578281638188,0.206179112691804,Leicester,0.1330376940133037,0.3856627953544252,-0.2526251013411215,2014,0.247757394329992,0.06747903299049829,1.0
Christian Pulisic,1819,GER-Bundesliga,Borussia Dortmund,0.7860262008733625,0.5067699839763636,0.2917137901058754,Chelsea,0.6731875719217492,0.3419967736153432,0.3311907983064059,2018,0.798483774082239,-0.012457573208876527,1.0
Christopher Nkunku,2223,GER-Bundesliga,RasenBallsport Leipzig,0.948866631523458,0.629092188150429,0.2326135759369033,Chelsea,0.6490384615384616,0.318399159779995,0.3306393017584665,2022,0.8617057640873322,0.08716086743612572,1.0
Claudio Bravo,1516,ESP-La Liga,Barcelona,0.0,0.0,0.0,Manchester City,0.0,0.3210133123630849,-0.3210133123630849,2015,0.0,0.0,1.0
Clement Lenglet,2021,ESP-La Liga,Barcelona,0.0363342753330641,0.0873488712293345,0.0288695001769412,Tottenham,0.0882785679254536,0.2896913911398481,-0.2014128232143944,2020,0.11621837140627571,-0.0798840960732116,1.0
Clinton N'Jie,1415,FRA-Ligue 1,Lyon,0.8300395256916996,0.4965528846891383,0.1968432565333814,Tottenham,0.5263157894736842,0.3848742823203326,0.1414415071533515,2014,0.6933961412225197,0.1366433844691799,0.8
Cristhian Stuani,1415,ESP-La Liga,Espanyol,0.621046578493387,0.4410613286124179,0.0440597145369918,Middlesbrough,0.2629656683710737,0.1446080263059562,0.1183576420651175,2014,0.48512104314940974,0.13592553534397722,1.0
Cristian Romero,2021,ITA-Serie A,Atalanta,0.1410658307210031,0.0478899087844457,0.0297516194350293,Tottenham,0.0380228136882129,0.2896913911398481,-0.2516685774516352,2020,0.077641528219475,0.0634243025015281,0.9
Cristiano Ronaldo,2021,ITA-Serie A,Juventus,1.0260064125400783,0.7614188412244863,0.1235901395945222,Manchester United,0.1740812379110251,0.2583177132146204,-0.0842364753035952,2020,0.8850089808190085,0.14099743172106982,0.9
Dango Ouattara,2223,FRA-Ligue 1,Lorient,0.6346153846153847,0.3460673041856633,0.2293853392251409,Bournemouth,0.2249999999999999,0.2625097225823178,-0.0375097225823178,2022,0.5754526434108042,0.05916274120458054,0.8
Dani Ceballos,1819,ESP-La Liga,Real Madrid,0.216867469879518,0.1617316750428044,0.0906908540391778,Arsenal,0.1045296167247386,0.2353597978432697,-0.1308301811185311,2018,0.2524225290819822,-0.03555505920246421,1.0
Danilo,1617,ITA-Serie A,Udinese,0.0842696629213483,0.0324473487412075,0.0072828931943251,Manchester City,0.3363228699551569,0.5279591257451036,-0.1916362557899467,2016,0.039730241935532595,0.0445394209858157,0.9
Danilo,1718,ITA-Serie A,Udinese,0.0323392022996766,0.0336302454311278,0.0032640021546009,Manchester City,0.1116625310173697,0.426128890837352,-0.3144663598199823,2017,0.03689424758572871,-0.004555045286052106,0.9
Danilo,2021,ITA-Serie A,Juventus,0.1540041067761806,0.056473367591245,0.1051477919422564,Nottingham Forest,0.4504504504504504,0.1575310916628282,0.2929193587876222,2020,0.1616211595335014,-0.0076170527573208024,0.9
Danilo,2223,ITA-Serie A,Juventus,0.1701323251417769,0.0706422574807571,0.0816694496812154,Nottingham Forest,0.2001111728738188,0.2865459838078777,-0.0864348109340589,2022,0.1523117071619725,0.017820617979804387,0.9
David Luiz,1516,FRA-Ligue 1,Paris Saint Germain,0.1294343240651965,0.0606319331675625,0.0752680130795801,Chelsea,0.0304156809733017,0.3983578164090063,-0.3679421354357046,2015,0.1358999462471426,-0.006465622181946101,0.8
Davide Zappacosta,1617,ITA-Serie A,Torino,0.2316602316602316,0.0328729846460823,0.1962230182666346,Chelsea,0.1648351648351648,0.2718401486988848,-0.1070049838637199,2016,0.2290960029127169,0.0025642287475147185,0.9
Dejan Kulusevski,2021,ITA-Serie A,Juventus,0.3286384976525821,0.1565449450497336,0.297368425228786,Tottenham,0.3820754716981132,0.2896913911398481,0.092384080558265,2020,0.4539133702785196,-0.1252748726259375,0.9
Denis Suárez,1718,ESP-La Liga,Barcelona,0.6228373702422145,0.3155562654459868,0.3322158551494555,Arsenal,0.0,0.3246975398874133,-0.3246975398874133,2017,0.6477721205954423,-0.024934750353227786,1.0
Denis Zakaria,2021,GER-Bundesliga,Borussia M.Gladbach,0.1265822784810126,0.0886895429767385,0.0680385796423954,Chelsea,0.0,0.1648108219865906,-0.1648108219865906,2020,0.1567281226191339,-0.030145844138121297,1.0
