Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA
Jorginho,1718,ITA-Serie A,0.20171834142697048,0.041528810034820875,0.1286816261959223,0.031507905196227315,0.9,2017,0.056621579112928595
Joselu,1415,GER-Bundesliga,0.3996770286637061,0.31194984948967175,0.13109849501953139,-0.04337131584549708,1.0,2014,0.41977611940298504
Joselu,1617,ESP-La Liga,0.6108597285067873,0.2700534657094779,0.021555458208149914,0.31925080458915944,1.0,2016,0.2601156069364162
Josko Gvardiol,2223,GER-Bundesliga,0.04153207198892478,0.07293410922422572,0.025588216485277704,-0.05699025372057864,1.0,2022,0.19271948608137046
João Moutinho,1718,FRA-Ligue 1,0.22491967154587647,0.028460785914152614,0.16986820986444548,0.026590675767278388,0.8,2017,0.26531280707500815
João Pedro,2021,ITA-Serie A,0.5224564619615032,0.26076498524201347,0.14563071542341813,0.11606076129607157,0.9,2020,0.5330700888450147
Justin Kluivert,2223,ESP-La Liga,0.3716448726772195,0.3635263338067145,0.16946081609220973,-0.16134227722170474,1.0,2022,0.35485460818137016
Jéremy Doku,2223,FRA-Ligue 1,0.5638214565387627,0.20567269568435828,0.3136719760945185,0.04447678475988592,0.8,2022,0.6126237623762376
Kai Havertz,1920,GER-Bundesliga,0.6566680178354276,0.33933772132054335,0.30221357314957265,0.015116723365311557,1.0,2019,0.41365725541694026
Kalidou Koulibaly,2021,ITA-Serie A,0.0,0.039793239909798495,0.012095235195516137,-0.051888475105314635,0.9,2020,0.14925373134328357
Kenny Tete,1920,FRA-Ligue 1,0.08530805687203792,0.051276498028381745,0.12560001367005694,-0.09156845482640076,0.8,2019,0.060687795010114634
Kepa,1718,ESP-La Liga,0.0,0.0,0.008589633305867513,-0.008589633305867513,1.0,2017,0.0
Kevin De Bruyne,1415,GER-Bundesliga,0.8846657929226737,0.22777397670755029,0.4219545848633445,0.2349372313517789,1.0,2014,0.7178464606181456
Kieran Trippier,2021,ESP-La Liga,0.21782977006857604,0.004731287879958753,0.1423503521690089,0.07074813001960839,1.0,2020,0.21377672209026127
Kiko Femenía,1617,ESP-La Liga,0.07197121151539385,0.008069660554810171,0.08891507789570062,-0.02501352693511695,1.0,2016,0.10452961672473868
Lamine Koné,1516,FRA-Ligue 1,0.0,0.0564038468584899,0.0019498529333260744,-0.05835369979181597,0.8,2015,0.03537735849056604
Leon Bailey,2021,GER-Bundesliga,0.7112970711297072,0.2728242701441673,0.2656560710720936,0.17281672991344632,1.0,2020,0.35450516986706054
Leroy Sané,1516,GER-Bundesliga,0.5442764578833693,0.2563323109827083,0.18768367777954684,0.10026046912111419,1.0,2015,0.4015616285554936
Lucas Digne,1718,ESP-La Liga,0.25641025641025644,0.041670975490258284,0.2248430147002905,-0.010103733780292334,1.0,2017,0.24258760107816715
Lucas Paquetá,2021,FRA-Ligue 1,0.547112462006079,0.29610689812757585,0.250394564773847,0.0006109991046561181,0.8,2020,0.28519692168401994
Lucas Torreira,1718,ITA-Serie A,0.14097744360902256,0.03954247380711866,0.06737745120155071,0.03405751860035319,0.9,2017,0.1521555367709214
Luciano Vietto,1718,ESP-La Liga,0.34177215189873417,0.1968307701187043,0.18223891350664667,-0.03729753172661682,1.0,2017,0.4615384615384615
Lyanco,2021,ITA-Serie A,0.0,0.07014749748746703,0.016573895924289,-0.08672139341175603,0.9,2020,0.15517241379310345
Malo Gusto,2223,FRA-Ligue 1,0.055693069306930694,0.03439488063455735,0.1664777766996165,-0.14517958802724315,0.8,2022,0.3078677309007982
Manolo Gabbiadini,1617,ITA-Serie A,0.5252918287937743,0.4798208474967962,0.008803442943159934,0.036667538353818196,0.9,2016,0.42613636363636365
Manuel Akanji,2021,GER-Bundesliga,0.07659574468085106,0.07568954338735721,0.007963012388729034,-0.007056811095235177,1.0,2020,0.03961267605633803
Marc Cucurella,2021,ESP-La Liga,0.1382488479262673,0.06094657277799972,0.09957876485613634,-0.022276489707868774,1.0,2020,0.1070154577883472
Marcos Alonso,1516,ITA-Serie A,0.26888604353393086,0.1334893843457198,0.16120309695820878,-0.025806437769997692,0.9,2015,0.3004451038575668
Mario Lemina,1617,ITA-Serie A,0.2027027027027027,0.24815110414213423,0.08618623181875493,-0.13163463325818647,0.9,2016,0.10434782608695652
Mario Lemina,2223,FRA-Ligue 1,0.0,0.021645683690766308,0.007339689399716307,-0.028985373090482616,0.8,2022,0.14990006662225183
Mario Vrancic,1617,GER-Bundesliga,0.3499675955930006,0.10012983644474116,0.2395103917513296,0.010327367396929854,1.0,2016,0.1468189233278956
Mark Flekken,2223,GER-Bundesliga,0.0,0.0,0.01665806244401371,-0.01665806244401371,1.0,2022,0.027330701488004858
Marten de Roon,1516,ITA-Serie A,0.0870125684821141,0.018863495318636257,0.03486472035209249,0.03328435281138535,0.9,2015,0.12954300107952502
Martín Montoya,1718,ESP-La Liga,0.16728624535315986,0.010432381289803377,0.08314508580356893,0.07370877825978756,1.0,2017,0.04157043879907621
Mateo Kovacic,1718,ESP-La Liga,0.09164969450101833,0.031696368623411096,0.06141543237572107,-0.0014621064981138326,1.0,2017,0.10250569476082004
Matheus Pereira,1920,FRA-Ligue 1,0.0,0.1296349116959251,0.08805617134874828,-0.21769108304467338,0.8,2019,0.5898226676946801
Matteo Darmian,1415,ITA-Serie A,0.1048951048951049,0.07716110210631277,0.11704064205523346,-0.08930663926644133,0.9,2014,0.04646360351058337
Max Meyer,1718,GER-Bundesliga,0.0,0.010086267312550558,0.017253843587600955,-0.027340110900151513,1.0,2017,0.19244476122594442
Maxime Le Marchand,1718,FRA-Ligue 1,0.10642491131257391,0.015867386610901726,0.025334199817075145,0.06522332488459703,0.8,2017,0.039982230119946685
Micah Richards,1415,ITA-Serie A,0.0,0.018682101037987356,0.016988409841631316,-0.03567051087961867,0.9,2014,0.08784773060029283
Michy Batshuayi,1516,FRA-Ligue 1,0.7956477388643318,0.5219303367964085,0.10280969905781324,0.17090770301011005,0.8,2015,2.443438914027149
Micky van de Ven,2223,GER-Bundesliga,0.06060606060606061,0.04005971576341174,0.049361386985489815,-0.028815042142840946,1.0,2022,0.11513859275053304
Miguel Britos,1415,ITA-Serie A,0.06020066889632107,0.06348877563997854,0.014998857866362186,-0.01828696461001965,0.9,2014,0.0
Mikkel Damsgaard,2021,ITA-Serie A,0.30456852791878175,0.16973789370037276,0.10768029068213732,0.02715034353627166,0.9,2020,0.0
Mohamed Salah,1617,ITA-Serie A,0.9367493995196157,0.483205042096426,0.34708815230857476,0.10645620511461495,0.9,2016,1.2796208530805686
Moise Kean,1819,ITA-Serie A,1.0246679316888045,0.6509370276213146,0.06796040029690885,0.3057705037705811,0.9,2018,0.4597701149425288
Moussa Diaby,2223,GER-Bundesliga,0.5592105263157895,0.3117200988344848,0.2810041026187767,-0.03351367513747194,1.0,2022,0.5642633228840126
N'Golo Kanté,1415,FRA-Ligue 1,0.19780219780219782,0.045053761060608426,0.07051169346825015,0.08223674327333924,0.8,2014,0.14945200929923613
Naby Keita,1718,GER-Bundesliga,0.5025380710659898,0.15172897226314255,0.19023991222044234,0.16056918658240493,1.0,2017,0.19189765458422176
Nampalys Mendy,1718,FRA-Ligue 1,0.09307135470527406,0.00218070839313094,0.004862215131089752,0.08602843118105337,0.8,2017,0.0
Naouirou Ahamada,2223,GER-Bundesliga,0.25245441795231416,0.03874530896889294,0.06994907438577391,0.1437600345976473,1.0,2022,0.0
Neal Maupay,1516,FRA-Ligue 1,0.5283757338551859,0.1614947472890354,0.2286002834358502,0.13828070313030028,0.8,2015,0.4205607476635514
Neto,2021,ESP-La Liga,0.0,0.0,0.0,0.0,1.0,2020,0.0
Nicolas Jackson,2223,ESP-La Liga,0.8905380333951763,0.476597675600941,0.2305967904323218,0.18334356736191348,1.0,2022,0.6068133427963095
Nicolas Pepe,1819,FRA-Ligue 1,0.8910891089108911,0.3680846572817579,0.28024346581941034,0.24276098580972294,0.8,2018,0.44532409698169223
Nicolo Zaniolo,2223,ITA-Serie A,0.09933774834437087,0.40060083468179436,0.0889690617555814,-0.3902321480930049,0.9,2022,0.21951219512195122
Nicolás Domínguez,2223,ITA-Serie A,0.19421665947345707,0.0820261986992922,0.1347121923846781,-0.02252173161051324,0.9,2022,0.23331173039533376
Nicolás Otamendi,1415,ESP-La Liga,0.17408123791102514,0.09027525391681858,0.002356447780241817,0.08144953621396475,1.0,2014,0.03367003367003367
Nordin Amrabat,1516,ESP-La Liga,0.08832188420019627,0.11708520617888064,0.22814273326068213,-0.2569060552393665,1.0,2015,0.12735849056603774
Nyom,1415,ESP-La Liga,0.030100334448160536,0.021623831099042527,0.052864486722269385,-0.04438798337315137,1.0,2014,0.03624647603705195
Nélson Semedo,1920,ESP-La Liga,0.12875536480686695,0.02895627434609274,0.09711853720151815,0.0026805532592560632,1.0,2019,0.06012024048096193
Odsonne Edouard,1617,FRA-Ligue 1,0.1624548736462094,0.25493487507266255,0.031767578842622705,-0.12424758026907587,0.8,2016,0.34634414513468936
Ola Aina,1920,ITA-Serie A,0.08678881388621022,0.01757850178958365,0.09798935714663658,-0.02877904505001,0.9,2019,0.10063361908311592
Ola Aina,2223,ITA-Serie A,0.20761245674740486,0.08467085156783101,0.2153964527595827,-0.09245484758000883,0.9,2022,0.10404624277456648
Oliver Burke,1920,ESP-La Liga,0.12875536480686695,0.1701762170287033,0.08429212635582864,-0.125712978577665,1.0,2019,0.14150943396226415
Orel Mangala,2021,GER-Bundesliga,0.17061611374407584,0.049494454566548225,0.07426559816057225,0.04685606101695536,1.0,2020,0.11385199240986718
Oriol Romeu,1415,GER-Bundesliga,0.0,0.019708517933839806,0.007456272100654814,-0.02716479003449462,1.0,2014,0.05632040050062578
Pablo Fornals,1819,ESP-La Liga,0.18101367658889783,0.1417884220648632,0.19569099748886262,-0.15646574296482801,1.0,2018,0.28767123287671237
Pape Souaré,1415,FRA-Ligue 1,0.0,0.005187269393549079,0.023742807107454546,-0.028930076501003626,0.8,2014,0.02983095790520384
Pascal Groß,1617,GER-Bundesliga,0.29626920263350404,0.1120159607421506,0.2537136681135349,-0.06946042622218146,1.0,2016,0.45317220543806647
