Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA,PL_NP_GA,Pre_PL_Shots_p90,Pre_PL_KeyPasses_p90,Origin_League_Avg_xG_p90,Origin_League_Avg_xA_p90,Origin_League_Avg_Shots_p90,Origin_League_Avg_KP_p90
Aaron Hickey,2021,ITA-Serie A,0.0,0.0045732924272123,0.0054989062132941,-0.0100721986405065,0.9,2020,0.0459652706843718,0.0459652706843718,0.2349869451697128,0.2349869451697128,0.14247660898399242,0.09696492195307051,1.1738422677101643,0.8669021305108874
Abdoulaye Doucouré,1516,FRA-Ligue 1,0.3833865814696485,0.1979144271939231,0.1444921049827965,0.0409800492929288,0.8,2015,0.0667160859896219,0.0667160859896219,1.9169329073482428,1.9169329073482428,0.1162467877906303,0.08239113878817568,1.1188144655972636,0.8171192961600087
Adama Traoré,1920,FRA-Ligue 1,0.4318618042226487,0.1176217235017017,0.1966388579708257,0.1176012227501212,0.8,2019,0.1368821292775665,0.1368821292775665,1.4683301343570059,3.109404990403071,0.12111780511341333,0.08288253026821066,1.168083013704616,0.8623501722222123
Ademola Lookman,1718,GER-Bundesliga,1.243523316062176,0.4473391275640596,0.4369497328147369,0.3592344556833795,1.0,2017,0.3130434782608695,0.3130434782608695,2.0207253886010363,2.6424870466321244,0.13286080357998578,0.09269296803779477,1.2226088901378205,0.8894400372673373
Adrián,1415,ESP-La Liga,0.0470219435736677,0.1031936878677119,0.0388552755012314,-0.0950270197952756,1.0,2014,0.0,0.0,1.4106583072100314,0.6112852664576803,0.12266772239344242,0.083810392042771,1.109812637984015,0.7834857559084347
Alexander Isak,2021,ESP-La Liga,0.6781079949769778,0.5923804424331995,0.0693747529806004,0.0163527995631779,1.0,2020,0.6470588235294118,0.5294117647058824,3.0514859773964003,0.37672666387609877,0.11837934465631214,0.07949886487748277,1.0114392809538189,0.7308285720469622
Alexandre Lacazette,1617,FRA-Ligue 1,1.1548013245033113,0.4974197141289563,0.2480327311921741,0.4093488791821809,0.8,2016,0.7248322147651007,0.6442953020134229,3.1663907284768213,1.8625827814569536,0.11869735333391775,0.08309402362739356,1.1412417079388386,0.828458156011306
Alisson,1718,ITA-Serie A,0.0,0.0,0.0001724435117196,-0.0001724435117196,0.9,2017,0.0,0.0,0.0,0.02702702702702703,0.11716528631159288,0.08054903690488423,1.151982831955754,0.8658703926102816
Allan,1920,ITA-Serie A,0.2097902097902098,0.0399789583406873,0.0732606375863502,0.0965506138631722,0.9,2019,0.0,0.0,0.8391608391608392,1.048951048951049,0.14006362798283753,0.0933927030281109,1.3346376392847148,0.9836501880881074
Allan Saint-Maximin,1819,FRA-Ligue 1,0.2766393442622951,0.1823233118563219,0.2042275587226585,-0.1099115263166853,0.8,2018,0.3322784810126582,0.3322784810126582,2.305327868852459,1.752049180327869,0.1243901930736094,0.08050706381799401,1.1828251365352067,0.83945176246747
Andreas Christensen,1617,GER-Bundesliga,0.0646784045993532,0.0528923836391134,0.0145274613278827,-0.0027414403676429,1.0,2016,0.0,0.0,0.42040962989579594,0.12935680919870643,0.12792494903822196,0.09548182894179166,1.1572051628127962,0.8665434814759735
Andreas Pereira,2021,ITA-Serie A,0.5443548387096774,0.1392379782778481,0.2390841800426584,0.1660326803891708,0.9,2020,0.325497287522604,0.2929475587703435,2.5403225806451615,2.3588709677419355,0.14247660898399242,0.09696492195307051,1.1738422677101643,0.8669021305108874
André Ayew,1415,FRA-Ligue 1,0.4511278195488721,0.3606001557992365,0.1201229461965928,-0.0295952824469571,0.8,2014,0.4246713852376137,0.4246713852376137,1.9548872180451127,0.8270676691729323,0.11263332617924589,0.07415190993983715,1.079115209499508,0.7521590630429674
André Gomes,1718,ESP-La Liga,0.0,0.107295916548797,0.0232983151716845,-0.1305942317204816,1.0,2017,0.0899550224887556,0.0899550224887556,1.0,0.42857142857142855,0.12332007499011235,0.09088967724842442,1.099915025068942,0.8134904087137277
André Onana,2223,ITA-Serie A,0.0,0.0,0.0040817488916218,-0.0040817488916218,0.9,2022,0.0,0.0,0.0,0.125,0.1284096390494249,0.09071888897915764,1.2476647081505758,0.8966142953968871
André Schürrle,1718,GER-Bundesliga,0.3643724696356275,0.2077613288031416,0.2545364505426604,-0.0979253097101744,1.0,2017,0.3233532934131736,0.3233532934131736,2.6234817813765186,1.3117408906882593,0.13286080357998578,0.09269296803779477,1.2226088901378205,0.8894400372673373
Angelo Ogbonna,1415,ITA-Serie A,0.0,0.0478525726269564,0.0060655109081374,-0.0539180835350938,0.9,2014,0.0,0.0,0.5663615560640732,0.20594965675057209,0.12315198221923442,0.08455125186280919,1.2475606469571767,0.9252732097297275
Anthony Martial,1415,FRA-Ligue 1,0.593732820230896,0.461355177055862,0.1185237463520672,0.0138538968229666,0.8,2014,0.5129179331306991,0.5129179331306991,2.5233644859813085,0.593732820230896,0.11263332617924589,0.07415190993983715,1.079115209499508,0.7521590630429674
Antonio Barragán,1516,ESP-La Liga,0.0,0.0,0.0185616571559053,-0.0185616571559053,1.0,2015,0.0,0.0,0.0,0.37815126050420167,0.12593999927826008,0.09407751956217439,1.09916863848029,0.8087244986184323
Antonio Rüdiger,1617,ITA-Serie A,0.0815586769370185,0.0295524977275862,0.0376924524977499,0.0143137267116823,0.9,2016,0.1155327342747111,0.1155327342747111,0.4077933846850929,0.4893520616221115,0.12424289286205857,0.08514082416392892,1.2080415320839255,0.8913781504199302
